,species_name,coded_property_name,collapsed_data_maximum,collapsed_data_minimum
363,carex_concinna,fruit_length,2.1mm,1.7mm
364,carex_concinna,fruit_width,1.3mm,1mm
365,carex_concinna,leaf_width,3.1mm,1mm
366,carex_concinna,plant_height,20cm,5.5cm
367,carex_concinnoides,fruit_length,2.5mm,1.9mm
368,carex_concinnoides,fruit_width,1.6mm,1.3mm
369,carex_concinnoides,leaf_width,4.5mm,1.7mm
370,carex_concinnoides,plant_height,37cm,14cm
371,carex_congdonii,branch_quantity,4,2
372,carex_congdonii,inflorescence_length,20cm,7cm
373,carex_congdonii,leaf_width,8mm,3mm
374,carex_congdonii,plant_height,90cm,30cm
375,carex_conjuncta,branch_quantity,12,8
376,carex_conjuncta,inflorescence_length,7cm,3cm
377,carex_conjuncta,plant_height,80cm,0cm
378,carex_conoidea,branch_quantity,0.21;0.99;0.91,0.12;0.91;0.21
379,carex_conoidea,fruit_length,2.6mm,1.8mm
380,carex_conoidea,fruit_width,1.2mm;1.4mm,1mm;1.2mm
381,carex_conoidea,leaf_width,3mm;5.6mm;3.9mm,2.3mm;3.9mm;3mm
382,carex_conoidea,plant_height,75cm,2cm
383,carex_constanceana,inflorescence_length,4cm,2.5cm
384,carex_constanceana,inflorescence_width,15mm,13mm
385,carex_constanceana,leaf_width,3mm,2mm
386,carex_constanceana,plant_height,35cm,25cm
387,carex_cordillerana,fruit_length,3.5mm,2.8mm
388,carex_cordillerana,fruit_width,2.4mm,1.5mm
389,carex_cordillerana,leaf_width,5.9mm;5.5mm,1.5mm;2mm
390,carex_cordillerana,plant_height,40cm,6.8cm
391,carex_corrugata,branch_quantity,0.90,0.33
392,carex_corrugata,fruit_length,0.65;2.8mm;3.3mm;0.8;3.1mm,0.6;2.4mm;3.1mm;0.65;2.8mm
393,carex_corrugata,fruit_width,1.7mm;2mm;1.9mm,1.6mm;1.9mm;1.7mm
394,carex_corrugata,leaf_width,8mm;5.3mm,5.3mm;3.3mm
395,carex_corrugata,plant_height,39cm;35cm;90cm,35cm;4cm;15cm
396,carex_crawei,fruit_length,1.9mm,1.4mm
397,carex_crawei,fruit_width,1.8mm,1mm
398,carex_crawei,leaf_width,4.4mm;4.4mm;3mm,1.5mm;3mm;1.8mm
399,carex_crawei,plant_height,40cm;40cm;30cm,30cm;30cm;2cm
400,carex_crawfordii,branch_quantity,3,1.8
401,carex_crawfordii,leaf_width,4mm,2mm
402,carex_crawfordii,plant_height,85cm;85cm;60cm,60cm;60cm;25cm
403,carex_crebriflora,fruit_length,4.4mm,2.8mm
404,carex_crebriflora,fruit_width,1.8mm,1mm
405,carex_crebriflora,leaf_width,3.4mm,0.5mm
406,carex_crebriflora,plant_height,70cm,17cm
407,carex_crinita,inflorescence_length,12cm;11.5cm,3.4cm;3.5cm
408,carex_crinita,inflorescence_width,7mm;6.8mm,3.3mm;4.2mm
409,carex_crinita,leaf_width,14mm;10.3mm,4.8mm;3.3mm
410,carex_crinita,plant_height,150cm;150cm;135cm,40cm;45cm;40cm
411,carex_cristatella,inflorescence_length,4.5cm;4cm,4cm;2cm
412,carex_cristatella,inflorescence_width,15mm,8mm
413,carex_cristatella,leaf_width,7.5mm,3mm
414,carex_cristatella,plant_height,100cm,30cm
415,carex_crus-corvi,branch_quantity,25,15
416,carex_crus-corvi,inflorescence_length,20cm,10cm
417,carex_crus-corvi,plant_height,90cm,0cm
418,carex_cryptolepis,fruit_length,1.5mm,1.2mm
419,carex_cryptolepis,fruit_width,1.2mm,1mm
420,carex_cryptolepis,leaf_width,2.9mm,1.5mm
421,carex_cryptolepis,plant_height,50cm;50cm,10cm;25cm
422,carex_cumberlandensis,fruit_length,2.9mm,2.2mm
423,carex_cumberlandensis,fruit_width,1.8mm,1.4mm
424,carex_cumberlandensis,leaf_width,6.1mm,1.6mm
425,carex_cumberlandensis,plant_height,27cm,7cm
426,carex_cumulata,inflorescence_length,5cm;4cm,4cm;1.5cm
427,carex_cumulata,inflorescence_width,16mm,7mm
428,carex_cumulata,leaf_width,8mm;6mm,6mm;3mm
429,carex_cumulata,plant_height,80cm,20cm
430,carex_curatorum,fruit_length,2mm,1.2mm
431,carex_curatorum,fruit_width,1.2mm,0.8mm
432,carex_curatorum,plant_height,35cm;35cm;91cm,23cm;23cm;35cm
433,carex_cusickii,branch_quantity,5,0
434,carex_cusickii,fruit_length,1.6mm,1.4mm
435,carex_cusickii,fruit_width,1.1mm,0.7mm
436,carex_cusickii,leaf_width,6mm;5mm,5mm;2.5mm
437,carex_cusickii,plant_height,130cm,3cm
438,carex_dasycarpa,plant_height,40cm,13cm
439,carex_davisii,fruit_length,2.7mm,2.2mm
440,carex_davisii,fruit_width,1.2mm,1mm
441,carex_davisii,leaf_width,8mm;6mm,3mm;2mm
442,carex_davisii,plant_height,3mm;100cm,1.5mm;30cm
443,carex_davyi,inflorescence_length,1.8cm;3cm,1cm;1.8cm
444,carex_davyi,inflorescence_width,11mm,6mm
445,carex_davyi,leaf_width,2mm;3mm,1.5mm;2mm
446,carex_davyi,plant_height,37cm,23cm
447,carex_debilis,fruit_length,2.5mm,1.9mm
448,carex_debilis,fruit_width,1.5mm,1mm
449,carex_debilis,inflorescence_length,50mm,15mm
