,property_name,species_name,coded_property_name,property_constraint,from,to,value,atypical
341,achene_length,carex_gholsonii,fruit_length,,1.9mm,2.5mm,,
342,achene_length,scirpus_microcarpus,fruit_length,,0.7mm,1.6mm,,
343,achene_length,scirpus_diffusus,fruit_length,,0.9mm,1.3mm,,
344,achene_length,carex_thornei,fruit_length,,2.6mm,3.5mm,,
345,achene_length,carex_austrocaroliniana,fruit_length,,1.8mm,2mm,,
346,achene_length,carex_flava,fruit_length,,1.3mm,1.7mm,,
347,achene_length,carex_serpenticola,fruit_length,,1.9mm,2.2mm,,
348,achene_length,carex_globosa,fruit_length,,1.9mm,2.7mm,,
349,achene_length,carex_infirminervia,fruit_length,,1.6mm,2.2mm,,
350,achene_length,carex_communis,fruit_length,,1.4mm,2.3mm,,
351,achene_length,carex_cryptolepis,fruit_length,,1.2mm,1.5mm,,
352,achene_length,carex_joorii,fruit_length,,2.5mm,3mm,,
353,achene_length,carex_paeninsulae,fruit_length,,2.9mm,3.4mm,,
354,achene_length,scirpus_expansus,fruit_length,,1mm,1.6mm,,
355,achene_length,dulichium_arundinaceum,fruit_length,,2mm,4mm,,
356,achene_thickness,carex_microptera,achene_thickness,,,,1.1-1.6×0.7-1.2,
357,achene_thickness,carex_microptera,achene_thickness,,0.3mm,0.5mm,,
358,achene_thickness,carex_adusta,achene_thickness,,,,2.1-2.5×1.6-2,
359,achene_thickness,carex_adusta,achene_thickness,,0.7mm,1mm,,
360,achene_thickness,carex_illota,achene_thickness,,,,1.2-1.5×0.8-1,
361,achene_thickness,carex_illota,achene_thickness,,0.4mm,0.5mm,,
362,achene_thickness,carex_foenea,achene_thickness,,,,1.3-2.1×1.2-1.7,
363,achene_thickness,carex_foenea,achene_thickness,,0.5mm,0.6mm,,
364,achene_thickness,carex_crawfordii,achene_thickness,,,,1.1-1.5×0.6-0.8,
365,achene_thickness,carex_crawfordii,achene_thickness,,0.15mm,0.35mm,,
366,achene_thickness,carex_macloviana,achene_thickness,,1.2mm,1.4-1.9×0.85-1.1mm,,atypical
367,achene_thickness,carex_macloviana,achene_thickness,,,,1.4-1.9×0.85-1.1,
368,achene_thickness,carex_macloviana,achene_thickness,,0.35mm,0.5mm,,
369,achene_thickness,carex_xerantica,achene_thickness,,,,1.7-2.1×1.2-1.4,
