,species_name,coded_property_name,collapsed_data_minimum,collapsed_data_maximum,collapsed_data_value
257,Carex_caudispicata,plant_height,10cm;1mm,30cm;1.5mm,tall;shorter
258,Carex_changmuensis,inflorescence_size,1cm,1.5cm,8
259,Carex_changmuensis,leaf_width,3mm,4mm,
260,Carex_changmuensis,plant_height,30cm,40cm,tall;1
261,Carex_chaofangii,inflorescence_length,3cm,3.5cm,
262,Carex_chaofangii,inflorescence_size,2cm,3cm,
263,Carex_chaofangii,leaf_width,6mm,10mm,
264,Carex_chaofangii,plant_height,25cm,35cm,tall
265,Carex_cheniana,inflorescence_length,3.5cm,6cm,
266,Carex_cheniana,inflorescence_size,1cm,2.7cm,
267,Carex_cheniana,inflorescence_width,0.5cm,0.8cm,
268,Carex_cheniana,leaf_width,5mm,9mm,
269,Carex_cheniana,plant_height,40cm,57cm,tall
270,Carex_chinensis,inflorescence_size,2.5cm,4.2cm,
271,Carex_chinensis,leaf_width,3mm,9mm,
272,Carex_chinensis,plant_height,20cm,55cm,tall;slender
273,Carex_chinganensis,inflorescence_size,0.8cm,1.2cm,5
274,Carex_chinganensis,leaf_width,1mm,1.5mm,
275,Carex_chinganensis,plant_height,20cm,40cm,tall;slender
276,Carex_chiwuana,inflorescence_size,1.2cm;2cm,1.3cm;3cm,3;4
277,Carex_chiwuana,leaf_width,3mm,5mm,
278,Carex_chiwuana,nutlet_size,2.1mm,2.5mm,
279,Carex_chiwuana,plant_height,18cm,30cm,tall;1.5;slender
280,Carex_chlorocephalula,inflorescence_size,1cm;3mm,1.5cm;3.5mm,
281,Carex_chlorocephalula,leaf_width,1.5mm,3mm,
282,Carex_chlorocephalula,plant_height,6cm,30cm,tall;1
283,Carex_chlorostachys,inflorescence_size,6mm;8mm,10mm;18mm,
284,Carex_chlorostachys,leaf_width,2mm,2.5mm,
285,Carex_chlorostachys,plant_height,30cm;10cm,50cm;30cm,tall;slender
286,Carex_chrysolepis,inflorescence_length,10mm;1cm,30mm;3cm,
287,Carex_chrysolepis,inflorescence_width,0.5cm,0.8cm,5
288,Carex_chrysolepis,leaf_width,1.5mm,3mm,
289,Carex_chrysolepis,plant_height,10cm,35cm,tall;slender
290,Carex_chuana,inflorescence_size,5mm,8mm,
291,Carex_chuana,inflorescence_width,4mm,6mm,
292,Carex_chuana,plant_height,10cm,20cm,tall;1;slender
293,Carex_chui,inflorescence_size,5mm;8mm,14mm;13mm,4
294,Carex_chui,leaf_width,1mm,1.5mm,
295,Carex_chui,plant_height,5cm,20cm,tall;slender
296,Carex_chungii,inflorescence_length,10mm;30mm;15mm,20mm;35mm;60mm,
297,Carex_chungii,inflorescence_size,1.5cm;5cm;1cm;2mm,2.5cm;6cm;3.5cm;3mm,
298,Carex_chungii,inflorescence_width,2mm;2mm,3mm;3mm,2;thick
299,Carex_chungii,leaf_width,2mm;1.5mm,3mm;2mm,
300,Carex_chungii,plant_height,25cm,50cm,tall;slender
301,Carex_cinerascens,inflorescence_length,15mm,30mm,
302,Carex_cinerascens,inflorescence_size,2cm,5cm,
303,Carex_cinerascens,inflorescence_width,2mm,4mm,
304,Carex_cinerascens,leaf_width,2mm,4mm,
305,Carex_cinerascens,plant_height,25cm,60cm,tall
306,Carex_commixta,inflorescence_length,6mm,7mm,longer than or sometimes
307,Carex_commixta,inflorescence_size,7mm,18mm,
308,Carex_commixta,inflorescence_width,2mm,3mm,
309,Carex_commixta,leaf_width,2cm,2.5cm,
310,Carex_commixta,plant_height,30cm,100cm,
311,Carex_composita,inflorescence_size,2cm,6cm,
312,Carex_composita,leaf_width,2mm,3mm,
313,Carex_composita,plant_height,40cm,60cm,
314,Carex_confertiflora,inflorescence_size,2cm;4cm;3.5cm,3.5cm;8cm;8cm,
315,Carex_confertiflora,leaf_width,8mm,12mm,
316,Carex_confertiflora,plant_height,60cm,95cm,tall
317,Carex_continua,inflorescence_size,4mm,10mm,
318,Carex_continua,leaf_width,6mm,8mm,
319,Carex_continua,plant_height,60cm,90cm,
320,Carex_coriophora,inflorescence_length,10mm;10mm,15mm;17mm,
321,Carex_coriophora,inflorescence_width,3mm;5mm,4mm;10mm,
322,Carex_coriophora,leaf_width,3mm,5mm,
323,Carex_coriophora,plant_height,50cm,70cm,tall
324,Carex_courtallensis,inflorescence_size,4cm;3mm,6cm;5mm,
325,Carex_courtallensis,leaf_width,0.8cm,2cm,
326,Carex_courtallensis,plant_height,35cm;1.5mm,55cm;2mm,tall
327,Carex_cranaocarpa,inflorescence_length,2cm,3.2cm,
328,Carex_cranaocarpa,leaf_width,2mm,3mm,
329,Carex_cranaocarpa,plant_height,50cm,80cm,tall
330,Carex_craspedotricha,inflorescence_length,10cm;5mm,15cm;10mm,
331,Carex_craspedotricha,inflorescence_width,3mm,8mm,
332,Carex_craspedotricha,leaf_width,2mm,3mm,
333,Carex_craspedotricha,plant_height,30cm,55cm,tall
334,Carex_crebra,inflorescence_size,8mm;7mm,10mm;20mm,
335,Carex_crebra,leaf_width,0.8mm,1mm,
336,Carex_crebra,plant_height,10cm;0mm,30cm;1.5mm,tall
337,Carex_cremostachys,inflorescence_size,6cm,10cm,
338,Carex_cremostachys,leaf_width,4mm,6mm,
339,Carex_cremostachys,plant_height,0cm,90cm,tall
340,Carex_cruciata,inflorescence_size,5mm,12mm,
341,Carex_cruciata,leaf_width,4mm,13mm,
342,Carex_cruciata,plant_height,40cm,90cm,
343,Carex_cruenta,inflorescence_size,1.5cm,3cm,
344,Carex_cruenta,leaf_width,3mm,4mm,
345,Carex_cruenta,plant_height,20cm,75cm,tall;slender
346,Carex_cryptocarpa,inflorescence_length,2cm,8cm,
347,Carex_cryptocarpa,inflorescence_width,0.8cm,1.2cm,
348,Carex_cryptocarpa,leaf_width,5mm,10mm,
349,Carex_cryptocarpa,plant_height,30cm,120cm,tall
350,Carex_cryptostachys,inflorescence_size,8mm;3mm,25mm;5mm,
351,Carex_cryptostachys,leaf_width,6mm,15mm,
352,Carex_cryptostachys,nutlet_size,2.5mm,3mm,constricted
