,species_name,coded_property_name,collapsed_data
328,carex_communis,maximum_fruit_length,2.3mm
329,carex_communis,maximum_fruit_width,1.4mm
330,carex_communis,maximum_leaf_width,
331,carex_communis,maximum_plant_height,60cm
332,carex_comosa,maximum_inflorescence_length,35cm
333,carex_comosa,maximum_leaf_width,16mm
334,carex_comosa,maximum_plant_height,120cm
335,carex_complanata,maximum_fruit_length,2.3mm
336,carex_complanata,maximum_fruit_width,1.5mm
337,carex_complanata,maximum_leaf_width,4mm
338,carex_complanata,maximum_plant_height,75cm
339,carex_concinna,maximum_fruit_length,2.1mm
340,carex_concinna,maximum_fruit_width,1.3mm
341,carex_concinna,maximum_leaf_width,3.1mm
342,carex_concinna,maximum_plant_height,20cm
343,carex_concinnoides,maximum_fruit_length,2.5mm
344,carex_concinnoides,maximum_fruit_width,1.6mm
345,carex_concinnoides,maximum_leaf_width,4.5mm
346,carex_concinnoides,maximum_plant_height,37cm
347,carex_congdonii,maximum_inflorescence_length,20cm
348,carex_congdonii,maximum_leaf_width,8mm
349,carex_congdonii,maximum_plant_height,90cm
350,carex_conjuncta,maximum_fruit_length,
351,carex_conjuncta,maximum_fruit_width,
352,carex_conjuncta,maximum_inflorescence_length,7cm
353,carex_conjuncta,maximum_inflorescence_width,
354,carex_conjuncta,maximum_leaf_width,
355,carex_conjuncta,maximum_plant_height,80cm
356,carex_conoidea,maximum_fruit_length,2.6mm
357,carex_conoidea,maximum_fruit_width,1.2mm;1.4mm
358,carex_conoidea,maximum_leaf_width,3mm;5.6mm;3.9mm
359,carex_conoidea,maximum_plant_height,75cm
360,carex_constanceana,maximum_inflorescence_length,4cm
361,carex_constanceana,maximum_inflorescence_width,15mm
362,carex_constanceana,maximum_leaf_width,3mm
363,carex_constanceana,maximum_plant_height,35cm
364,carex_cordillerana,maximum_fruit_length,3.5mm
365,carex_cordillerana,maximum_fruit_width,2.4mm
366,carex_cordillerana,maximum_leaf_width,5.9mm;5.5mm
367,carex_cordillerana,maximum_plant_height,40cm
368,carex_corrugata,maximum_fruit_length,0.65;2.8mm;3.3mm;0.8;3.1mm
369,carex_corrugata,maximum_fruit_width,1.7mm;2mm;1.9mm
370,carex_corrugata,maximum_leaf_width,8mm;5.3mm
371,carex_corrugata,maximum_plant_height,39cm;35cm;90cm
372,carex_crawei,maximum_fruit_length,1.9mm
373,carex_crawei,maximum_fruit_width,1.8mm
374,carex_crawei,maximum_leaf_width,4.4mm;4.4mm;3mm
375,carex_crawei,maximum_plant_height,30cm
376,carex_crawfordii,maximum_leaf_width,4mm
377,carex_crawfordii,maximum_plant_height,60cm
378,carex_crebriflora,maximum_fruit_length,4.4mm
379,carex_crebriflora,maximum_fruit_width,1.8mm
380,carex_crebriflora,maximum_leaf_width,3.4mm
381,carex_crebriflora,maximum_plant_height,70cm
382,carex_crinita,maximum_plant_height,150cm
383,carex_cristatella,maximum_inflorescence_length,4.5cm;4cm
384,carex_cristatella,maximum_inflorescence_width,15mm
385,carex_cristatella,maximum_leaf_width,7.5mm
386,carex_cristatella,maximum_plant_height,100cm
387,carex_crus-corvi,maximum_fruit_length,
388,carex_crus-corvi,maximum_fruit_width,
389,carex_crus-corvi,maximum_inflorescence_length,20cm
390,carex_crus-corvi,maximum_inflorescence_width,
391,carex_crus-corvi,maximum_leaf_width,
392,carex_crus-corvi,maximum_plant_height,90cm
